indicator_data_id,indicator_id,name,Measure,geo_type_name,geo_entity_id,year_description,data_value,message
130685,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,101,2005,2.9,NULL
130686,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,102,2005,2.8,NULL
130687,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,103,2005,2.7,NULL
130688,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,104,2005,2.7,NULL
130689,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,105,2005,3,NULL
130690,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,106,2005,3,NULL
130691,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,107,2005,2.8,NULL
130692,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,201,2005,3.7,NULL
130693,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,202,2005,3.7,NULL
130694,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,203,2005,2.5,NULL
130695,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,204,2005,2.3,NULL
130696,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,205,2005,3.2,NULL
130697,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,206,2005,2.5,NULL
130698,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,207,2005,2.3,NULL
130699,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,208,2005,2.4,NULL
130700,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,209,2005,2.8,NULL
130701,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,210,2005,2.4,NULL
130702,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,211,2005,2.8,NULL
130703,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,301,2005,4.1,NULL
130704,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,302,2005,3.9,NULL
130705,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,303,2005,4.2,NULL
130706,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,304,2005,3.9,NULL
130707,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,305,2005,4.5,NULL
130708,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,306,2005,4.9,NULL
130709,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,307,2005,5.3,NULL
130710,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,308,2005,4.7,NULL
130711,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,309,2005,5,NULL
130712,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,310,2005,6.3,NULL
130713,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,401,2005,2.7,NULL
130714,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,402,2005,2.2,NULL
130715,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,403,2005,1.9,NULL
130716,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,404,2005,1.9,NULL
130717,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,405,2005,2,NULL
130718,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,406,2005,1.7,NULL
130719,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,407,2005,1.8,NULL
130720,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,408,2005,1.8,NULL
130721,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,409,2005,1.8,NULL
130722,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,410,2005,1.4,NULL
130723,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,501,2005,2.5,NULL
130724,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,502,2005,1.3,NULL
130725,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,503,2005,1.6,NULL
130726,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,504,2005,1.1,NULL
315590,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,101,2011,1.6,NULL
315591,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,102,2011,1.4,NULL
315592,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,103,2011,1.6,NULL
315593,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,104,2011,1.3,NULL
315594,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,105,2011,1.6,NULL
315595,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,106,2011,1.6,NULL
315596,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,107,2011,1.4,NULL
315597,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,201,2011,1.6,NULL
315598,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,202,2011,1.7,NULL
315599,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,203,2011,1.3,NULL
315600,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,204,2011,1.4,NULL
315601,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,205,2011,1.3,NULL
315602,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,206,2011,1.5,NULL
315603,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,207,2011,1.4,NULL
315604,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,208,2011,1.1,NULL
315605,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,209,2011,1.6,NULL
315606,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,210,2011,1.7,NULL
315607,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,211,2011,1.4,NULL
315608,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,301,2011,2.4,NULL
315609,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,302,2011,2.1,NULL
315610,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,303,2011,2.1,NULL
315611,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,304,2011,2.4,NULL
315612,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,UHF42,305,2011,2.5,NULL
