indicator_data_id,indicator_id,name,Measure,geo_type_name,geo_entity_id,year_description,data_value,message
130271,634,Adults Reporting Mice in the Home,Percent,UHF42,101,2012,15.2,Estimate is based on small numbers so should be interpreted with caution.
130272,634,Adults Reporting Mice in the Home,Percent,UHF42,102,2012,15.8,NULL
130273,634,Adults Reporting Mice in the Home,Percent,UHF42,103,2012,30.2,NULL
130274,634,Adults Reporting Mice in the Home,Percent,UHF42,104,2012,13.6,NULL
130275,634,Adults Reporting Mice in the Home,Percent,UHF42,105,2012,30.9,NULL
130276,634,Adults Reporting Mice in the Home,Percent,UHF42,106,2012,30.9,NULL
130277,634,Adults Reporting Mice in the Home,Percent,UHF42,107,2012,30.9,NULL
130278,634,Adults Reporting Mice in the Home,Percent,UHF42,201,2012,7.5,NULL
130279,634,Adults Reporting Mice in the Home,Percent,UHF42,202,2012,9.8,NULL
130280,634,Adults Reporting Mice in the Home,Percent,UHF42,203,2012,21,NULL
130281,634,Adults Reporting Mice in the Home,Percent,UHF42,204,2012,32.9,NULL
130282,634,Adults Reporting Mice in the Home,Percent,UHF42,205,2012,17.3,NULL
130283,634,Adults Reporting Mice in the Home,Percent,UHF42,206,2012,10.2,NULL
130284,634,Adults Reporting Mice in the Home,Percent,UHF42,207,2012,32.7,NULL
130285,634,Adults Reporting Mice in the Home,Percent,UHF42,208,2012,20.3,NULL
130286,634,Adults Reporting Mice in the Home,Percent,UHF42,209,2012,NULL,Estimate is supressed due to insufficient data.
130287,634,Adults Reporting Mice in the Home,Percent,UHF42,210,2012,9,Estimate is based on small numbers so should be interpreted with caution.
130288,634,Adults Reporting Mice in the Home,Percent,UHF42,211,2012,31.6,NULL
130289,634,Adults Reporting Mice in the Home,Percent,UHF42,301,2012,26.7,NULL
130290,634,Adults Reporting Mice in the Home,Percent,UHF42,302,2012,12,NULL
130291,634,Adults Reporting Mice in the Home,Percent,UHF42,303,2012,18.6,Estimate is based on small numbers so should be interpreted with caution.
130292,634,Adults Reporting Mice in the Home,Percent,UHF42,304,2012,11.4,NULL
130293,634,Adults Reporting Mice in the Home,Percent,UHF42,305,2012,5.5,NULL
130295,634,Adults Reporting Mice in the Home,Percent,UHF42,306,2012,11.1,NULL
130294,634,Adults Reporting Mice in the Home,Percent,UHF42,307,2012,5.5,NULL
130296,634,Adults Reporting Mice in the Home,Percent,UHF42,308,2012,11.1,NULL
130297,634,Adults Reporting Mice in the Home,Percent,UHF42,309,2012,9.8,Estimate is based on small numbers so should be interpreted with caution.
130298,634,Adults Reporting Mice in the Home,Percent,UHF42,310,2012,9.8,Estimate is based on small numbers so should be interpreted with caution.
130299,634,Adults Reporting Mice in the Home,Percent,UHF42,401,2012,12.2,NULL
130300,634,Adults Reporting Mice in the Home,Percent,UHF42,402,2012,16.3,NULL
130301,634,Adults Reporting Mice in the Home,Percent,UHF42,403,2012,10.9,Estimate is based on small numbers so should be interpreted with caution.
130302,634,Adults Reporting Mice in the Home,Percent,UHF42,404,2012,2.5,Estimate is based on small numbers so should be interpreted with caution.
130304,634,Adults Reporting Mice in the Home,Percent,UHF42,405,2012,12,NULL
130303,634,Adults Reporting Mice in the Home,Percent,UHF42,406,2012,2.5,Estimate is based on small numbers so should be interpreted with caution.
130305,634,Adults Reporting Mice in the Home,Percent,UHF42,407,2012,14.8,NULL
130306,634,Adults Reporting Mice in the Home,Percent,UHF42,408,2012,16,NULL
130307,634,Adults Reporting Mice in the Home,Percent,UHF42,409,2012,9.9,Estimate is based on small numbers so should be interpreted with caution.
130308,634,Adults Reporting Mice in the Home,Percent,UHF42,410,2012,8.9,Estimate is based on small numbers so should be interpreted with caution.
130309,634,Adults Reporting Mice in the Home,Percent,UHF42,501,2012,8.9,NULL
130310,634,Adults Reporting Mice in the Home,Percent,UHF42,502,2012,8.9,NULL
